2: 509203, 762701, 777149, 790841, 992077, 1018406, 1106681, 1247173, 1254341, 1330207, 1330319, 1525402, 1554298, 1581682, 1715053, 1730653,
3: 12119, 20731, 21997, 28297, 30871, 33437, 35213, 36357, 51197, 51619, 53719, 54577, 61493, 62193, 62479, 65113,
4: 361, 919, 1114, 1444, 1486, 1681, 1849, 2326, 2419, 2629, 3301, 3676, 4456, 5014, 5209, 5539,
5: 13, 17, 37, 41, 61, 65, 85, 89, 109, 113, 133, 137, 157, 161, 181, 185,
6: 84687, 133946, 176602, 213410, 299144, 333845, 367256, 429127, 435940, 508122, 607935, 803676, 819925, 1059612, 1214450, 1250446,
7: 457, 1291, 3199, 3313, 3355, 3697, 4681, 5251, 5935, 6277, 9037, 11259, 12133, 13231, 13453, 14251,
8: 14, 112, 116, 148, 209, 307, 311, 343, 404, 502, 506, 538, 599, 658, 697, 701,
9: 41, 49, 74, 121, 129, 201, 209, 281, 289, 361, 369, 441, 449, 521, 529, 601,
10: 334, 1585, 1882, 3340, 3664, 7327, 8425, 9208, 10176, 10999, 12178, 12211, 13672, 15751, 15850, 17137,
11: 5, 7, 17, 19, 29, 31, 41, 43, 53, 55, 65, 67, 77, 79, 89, 91,
12: 376, 742, 1288, 1364, 2261, 2627, 3173, 3249, 4146, 4512, 5058, 5134, 6031, 6397, 6943, 7019,
13: 29, 41, 69, 85, 97, 101, 141, 153, 197, 209, 217, 253, 265, 302, 309, 321,
14: 4, 11, 19, 26, 34, 41, 49, 56, 64, 71, 79, 86, 94, 101, 109, 116,
15: 622403, 1346041, 2742963,
16: 100, 172, 211, 295, 625, 781, 919, 991, 1030, 1114, 1156, 1444, 1600, 1738, 1810, 1849,
17: 49, 59, 65, 86, 133, 145, 157, 161, 241, 257, 337, 353, 433, 449, 494, 521,
18: 246, 664, 723, 837, 1481, 1899, 1958, 2072, 2716, 3134, 3193, 3307, 3951, 4369, 4428, 4542,
19: 9, 11, 29, 31, 49, 51, 69, 71, 89, 91, 109, 111, 129, 131, 149, 151,
20: 8, 13, 29, 34, 50, 55, 71, 76, 92, 97, 113, 118, 134, 139, 155, 160,
21: 45, 65, 133, 153, 221, 241, 309, 329, 397, 417, 485, 489, 505, 560, 573, 593,
22: 2738, 4461, 6209, 8902, 13893, 14374, 15616, 17364, 20057, 25048, 26771, 28519, 31212, 36203, 37926, 39674,
23: 5, 7, 17, 19, 29, 31, 41, 43, 53, 55, 65, 67, 77, 79, 89, 91,
24: 32336, 69691, 109054, 124031, 135249, 140169, 177909, 196551, 213356, 215804, 217586, 326721, 335411, 360601, 386444, 406321,
25: 105, 129, 211, 313, 337, 521, 545, 729, 753, 937, 961, 1024, 1145, 1169, 1201, 1234,
26: 149, 334, 1892, 1987, 2572, 2785, 3874, 4339, 4376, 4552, 4985, 5027, 5492, 5920, 6143, 6733,
27: 13, 15, 41, 43, 69, 71, 97, 99, 125, 127, 153, 155, 173, 181, 183, 209,
28: 3769, 9078, 14472, 18211, 26534, 31843, 37237, 40976, 49299, 54608, 60002, 63741, 72064, 77373, 82767, 86506,
29: 4, 9, 11, 13, 17, 19, 21, 26, 34, 37, 41, 49, 56, 61, 64, 65,
30: 4928, 5331, 7968, 8958, 10014, 10518, 11471, 13497, 13757, 13763, 17361, 18072, 19163, 22408, 23685, 24119,
31: 145, 265, 443, 493, 519, 601, 697, 919, 1255, 1585, 2059, 2167, 2189, 2367, 2443, 2621,
32: 10, 23, 43, 56, 73, 76, 89, 109, 122, 142, 155, 175, 188, 208, 221, 241,
33: 545, 577, 764, 1633, 1665, 2721, 2753, 3489, 3673, 3809, 3841, 4897, 4929, 5985, 6017, 6682,
34: 6, 29, 41, 64, 76, 90, 99, 111, 134, 146, 169, 181, 204, 216, 239, 251,
35: 5, 7, 17, 19, 29, 31, 41, 43, 53, 55, 65, 67, 77, 79, 89, 91,
