base    1st    2nd    3rd
S4      419    659    794
S5        7     11     31
S7      209   1463   3305
S8       47     79     83
S9       31     39    111
S10     989   1121   3653
S11       5      7     17
S12     521    597   1143
S13      15     27     47
S14       4     11     19
S16      38    194    524
S17      31     47    127
S18     398    512    571
S19       9     11     29
S20       8     13     29
S21      23     43     47
S23       5      7     17
S25      79    103    185
S26     221    284   1627
S27      13     15     41
S29       4      7     11
S31     239    293    521
S32      10     23     43
S64      14     51     79
S128     44     85     98
S256     38    194    467
R4      361    919   1114
R5       13     17     37
R7      457   1291   3199
R8       14    112    116
R9       41     49     74
R10     334   1585   1882
R11       5      7     17
R12     376    742   1288
R13      29     41     69
R14       4     11     19
R16     100    172    211
R17      49     59     65
R18     246    664    723
R19       9     11     29
R20       8     13     29
R21      45     65    133
R23       5      7     17
R25     105    129    211
R26     149    334   1892
R27      13     15     41
R29       4      9     11
R31     145    265    443
R32      10     23     43
R64      14     51     79
R128     44     59     85
R256    100    172    211
